id,idade,raca_cor,sexo,identidade_genero,orientacao_sexual
168,49,Branca,Masculino,Homem cisgenero,Heterossexual
169,43,Parda,Masculino,Homem cisgenero,Heterossexual
170,46,Branca,Masculino,Homem cisgenero,Heterossexual
171,26,Branca,Masculino,Homem cisgenero,Heterossexual
172,42,Parda,Masculino,Homem cisgenero,Heterossexual
173,28,Parda,Masculino,Homem cisgenero,Heterossexual
174,35,Preta,Feminino,Mulher cisgenero,Heterossexual
175,37,Branca,Masculino,Homem cisgenero,Heterossexual
176,31,Preta,Masculino,Homem cisgenero,Heterossexual
177,31,Preta,Masculino,Homem cisgenero,Heterossexual
178,54,Parda,Masculino,Homem cisgenero,Bissexual/Panssexual
179,56,Branca,Masculino,Homem cisgenero,Heterossexual
180,32,Parda,Masculino,Homem cisgenero,Heterossexual
181,42,Parda,Masculino,Homem cisgenero,Heterossexual
182,39,Branca,Masculino,Homem cisgenero,Heterossexual
183,31,Parda,Masculino,Homem cisgenero,Heterossexual
184,53,Preta,Masculino,Homem cisgenero,Heterossexual
185,35,Parda,Masculino,Homem cisgenero,Heterossexual
186,32,Branca,Masculino,Homem cisgenero,Heterossexual
187,36,Parda,Masculino,Homem cisgenero,Heterossexual
188,45,Branca,Masculino,Homem cisgenero,Heterossexual
189,31,Preta,Masculino,Homem cisgenero,Heterossexual
190,49,Parda,Masculino,Homem cisgenero,Heterossexual
191,48,Parda,Masculino,Homem cisgenero,Heterossexual
192,32,Preta,Masculino,Homem cisgenero,Heterossexual
193,47,Parda,Masculino,Homem cisgenero,Heterossexual
194,35,Parda,Masculino,Homem cisgenero,Gay
195,50,Parda,Feminino,Mulher cisgenero,Heterossexual
196,50,Parda,Masculino,Homem cisgenero,Heterossexual
197,34,Parda,Masculino,Homem cisgenero,Heterossexual
198,66,Parda,Masculino,Homem cisgenero,Heterossexual
199,46,Branca,Masculino,Homem cisgenero,Heterossexual
200,53,Parda,Masculino,Homem cisgenero,Gay
201,38,Preta,Masculino,Homem cisgenero,Heterossexual
202,40,Branca,Masculino,Homem cisgenero,Heterossexual
203,28,Parda,Masculino,Homem cisgenero,Heterossexual
204,29,Preta,Masculino,Nao binario,Heterossexual
205,32,Preta,Masculino,Homem cisgenero,Heterossexual
206,43,Indigena,Masculino,Homem cisgenero,Heterossexual
207,70,Parda,Masculino,Homem cisgenero,Heterossexual
208,31,Parda,Feminino,Mulher cisgenero,Heterossexual
209,36,Indigena,Masculino,Homem cisgenero,Heterossexual
210,38,Branca,Masculino,Homem cisgenero,Nao se Aplica
211,52,Parda,Masculino,Homem cisgenero,Bissexual/Panssexual
212,48,Branca,Masculino,Homem cisgenero,Heterossexual
213,49,Parda,Masculino,Homem cisgenero,Heterossexual
214,51,Parda,Masculino,Homem cisgenero,Heterossexual
215,39,Preta,Masculino,Homem cisgenero,Nao se Aplica
216,21,Parda,Masculino,Homem cisgenero,Heterossexual
217,47,Branca,Masculino,Homem cisgenero,Heterossexual
218,18,Parda,Masculino,Homem cisgenero,Heterossexual
219,45,Branca,Masculino,Homem cisgenero,Heterossexual
220,36,Branca,Masculino,Homem cisgenero,Heterossexual
221,29,Parda,Masculino,Homem cisgenero,Gay
222,28,Parda,Masculino,Mulher transexual,Heterossexual
223,35,Parda,Masculino,Homem cisgenero,Heterossexual
224,37,Parda,Masculino,Homem cisgenero,Heterossexual
225,25,Parda,Masculino,Homem cisgenero,Bissexual/Panssexual
226,23,Parda,Masculino,Homem cisgenero,Heterossexual
227,23,Branca,Masculino,Homem cisgenero,Heterossexual
228,31,Parda,Masculino,Homem cisgenero,Heterossexual
229,49,Branca,Masculino,Homem cisgenero,Heterossexual
230,62,Branca,Masculino,Homem cisgenero,Heterossexual
231,33,Parda,Masculino,Homem cisgenero,Gay
232,64,Parda,Feminino,Mulher cisgenero,Heterossexual
233,50,Parda,Masculino,Homem cisgenero,Heterossexual
234,21,Parda,Masculino,Homem cisgenero,Heterossexual
235,39,Parda,Masculino,Homem cisgenero,Heterossexual
236,50,Branca,Masculino,Homem cisgenero,Heterossexual
237,39,Parda,Feminino,Mulher cisgenero,Lesbica
238,24,Parda,Masculino,Homem cisgenero,Heterossexual
239,28,Parda,Masculino,Homem cisgenero,Gay
240,52,Preta,Feminino,Mulher cisgenero,Heterossexual
241,60,Parda,Feminino,Mulher cisgenero,Heterossexual
242,41,Preta,Feminino,Mulher cisgenero,Bissexual/Panssexual
243,42,Branca,Feminino,Mulher cisgenero,Heterossexual
244,58,Branca,Masculino,Homem cisgenero,Heterossexual
245,36,Parda,Masculino,Homem cisgenero,Heterossexual
246,33,Parda,Masculino,Homem cisgenero,Heterossexual
247,35,Parda,Masculino,Homem cisgenero,Gay
248,62,Parda,Masculino,Homem cisgenero,Heterossexual
249,35,Preta,Masculino,Homem cisgenero,Heterossexual
250,64,Branca,Masculino,Homem cisgenero,Heterossexual
251,42,Branca,Masculino,Homem cisgenero,Heterossexual
252,42,Parda,Masculino,Homem cisgenero,Heterossexual
253,27,Parda,Masculino,Homem cisgenero,Heterossexual
254,26,Preta,Masculino,Homem cisgenero,Heterossexual
255,38,Parda,Masculino,Homem cisgenero,Heterossexual
256,65,Parda,Masculino,Homem cisgenero,Heterossexual
257,40,Parda,Masculino,Homem cisgenero,Heterossexual
258,54,Parda,Masculino,Homem cisgenero,Heterossexual
259,55,Parda,Masculino,Homem cisgenero,Heterossexual
260,45,Preta,Masculino,Homem cisgenero,Heterossexual
261,42,Parda,Masculino,Homem cisgenero,Heterossexual
262,63,Branca,Masculino,Homem cisgenero,Heterossexual
263,51,Preta,Masculino,Homem cisgenero,Heterossexual
264,49,Branca,Masculino,Homem cisgenero,Heterossexual
265,40,Branca,Masculino,Homem cisgenero,Heterossexual
266,51,Parda,Masculino,Homem cisgenero,Heterossexual
267,43,Parda,Masculino,Homem cisgenero,Heterossexual
268,51,Branca,Masculino,Homem cisgenero,Heterossexual
269,58,Parda,Masculino,Homem cisgenero,Heterossexual
270,36,Branca,Masculino,Homem cisgenero,Heterossexual
271,24,Parda,Masculino,Homem cisgenero,Heterossexual
272,66,Parda,Masculino,Homem cisgenero,Heterossexual
273,28,Parda,Masculino,Homem cisgenero,Heterossexual
274,65,Amarela,Masculino,Homem cisgenero,Heterossexual
275,63,Preta,Masculino,Homem cisgenero,Heterossexual
276,66,Preta,Masculino,Homem cisgenero,Heterossexual
277,62,Branca,Masculino,Homem cisgenero,Heterossexual
278,65,Branca,Masculino,Homem cisgenero,Heterossexual
279,60,Parda,Masculino,Homem cisgenero,Heterossexual
280,64,Branca,Masculino,Homem cisgenero,Heterossexual
281,63,Branca,Feminino,Mulher cisgenero,Heterossexual
282,49,Parda,Masculino,Homem cisgenero,Heterossexual
283,64,Parda,Masculino,Homem cisgenero,Heterossexual
284,46,Branca,Masculino,Homem cisgenero,Heterossexual
285,55,Parda,Masculino,Homem cisgenero,Heterossexual
286,39,Preta,Masculino,Homem cisgenero,Heterossexual
287,60,Preta,Masculino,Homem cisgenero,Heterossexual
288,68,Branca,Masculino,Homem cisgenero,Heterossexual
289,54,Branca,Masculino,Nao declarada,Heterossexual
290,28,Preta,Masculino,Homem cisgenero,Heterossexual
291,41,Parda,Masculino,Homem cisgenero,Heterossexual
292,42,Parda,Masculino,Homem cisgenero,Heterossexual
293,66,Parda,Masculino,Homem cisgenero,Heterossexual
294,58,Preta,Masculino,Homem cisgenero,Heterossexual
295,46,Preta,Masculino,Homem cisgenero,Heterossexual
296,21,Preta,Masculino,Homem cisgenero,Heterossexual
297,56,Parda,Masculino,Homem cisgenero,Heterossexual
298,31,Prefere nao declarar,Masculino,Homem cisgenero,Gay
299,44,Parda,Masculino,Homem cisgenero,Heterossexual
300,47,Branca,Feminino,Mulher cisgenero,Heterossexual
301,37,Preta,Masculino,Homem cisgenero,Heterossexual
302,48,Branca,Feminino,Mulher cisgenero,Heterossexual
303,33,Preta,Masculino,Homem cisgenero,Heterossexual
304,45,Parda,Masculino,Homem cisgenero,Heterossexual
305,32,Preta,Masculino,Homem cisgenero,Heterossexual
306,27,Preta,Masculino,Homem cisgenero,Heterossexual
307,38,Parda,Masculino,Homem cisgenero,Heterossexual
308,64,Preta,Masculino,Homem cisgenero,Heterossexual
309,49,Parda,Masculino,Homem cisgenero,Heterossexual
310,40,Preta,Masculino,Homem cisgenero,Heterossexual
311,56,Parda,Masculino,Homem cisgenero,Heterossexual
312,43,Parda,Masculino,Homem cisgenero,Heterossexual
313,40,Parda,Masculino,Homem cisgenero,Bissexual/Panssexual
314,34,Parda,Masculino,Homem cisgenero,Heterossexual
315,54,Parda,Feminino,Mulher cisgenero,Heterossexual
316,26,Branca,Masculino,Homem cisgenero,Heterossexual
317,51,Parda,Masculino,Homem cisgenero,Heterossexual
318,22,Parda,Masculino,Homem cisgenero,Heterossexual
319,62,Branca,Masculino,Homem cisgenero,Heterossexual
320,48,Branca,Masculino,Homem cisgenero,Heterossexual
321,45,Preta,Masculino,Homem cisgenero,Heterossexual
322,23,Preta,Masculino,Homem cisgenero,Heterossexual
323,36,Parda,Masculino,Homem cisgenero,Heterossexual
324,29,Parda,Masculino,Homem cisgenero,Heterossexual
325,42,Branca,Masculino,Homem cisgenero,Heterossexual
326,68,Branca,Masculino,Homem cisgenero,Heterossexual
327,42,Parda,Feminino,Mulher cisgenero,Heterossexual
328,27,Preta,Masculino,Homem cisgenero,Heterossexual
329,30,Parda,Masculino,Homem cisgenero,Heterossexual
330,40,Branca,Masculino,Homem cisgenero,Heterossexual
331,21,Parda,Feminino,Mulher cisgenero,Heterossexual
332,60,Parda,Feminino,Mulher cisgenero,Heterossexual
333,50,Preta,Feminino,Mulher cisgenero,Heterossexual
334,36,Branca,Masculino,Homem cisgenero,Heterossexual
335,58,Preta,Masculino,Homem cisgenero,Heterossexual
336,23,Parda,Feminino,Mulher cisgenero,Heterossexual
337,36,Indigena,Feminino,Mulher cisgenero,Heterossexual
338,27,Parda,Masculino,Homem cisgenero,Heterossexual
339,58,Parda,Masculino,Homem cisgenero,Heterossexual
340,42,Parda,Masculino,Homem cisgenero,Heterossexual
341,31,Branca,Masculino,Homem cisgenero,Heterossexual
342,28,Parda,Masculino,Homem cisgenero,Heterossexual
343,42,Branca,Feminino,Mulher cisgenero,Heterossexual
344,54,Parda,Masculino,Homem cisgenero,Heterossexual
345,50,Branca,Masculino,Homem cisgenero,Heterossexual
346,59,Preta,Masculino,Homem cisgenero,Heterossexual
347,26,Parda,Masculino,Homem cisgenero,Heterossexual
348,34,Parda,Masculino,Homem cisgenero,Heterossexual
349,29,Preta,Masculino,Homem cisgenero,Heterossexual
350,26,Indigena,Feminino,Homem trans,Bissexual/Panssexual
351,34,Parda,Masculino,Homem cisgenero,Heterossexual
352,37,Preta,Feminino,Mulher cisgenero,Heterossexual
353,49,Preta,Masculino,Homem cisgenero,Heterossexual
354,49,Parda,Masculino,Homem cisgenero,Heterossexual
355,49,Parda,Masculino,Homem cisgenero,Nao se Aplica
356,53,Parda,Masculino,Homem cisgenero,Heterossexual
357,32,Parda,Masculino,Homem cisgenero,Heterossexual
358,74,Branca,Masculino,Homem cisgenero,Heterossexual
359,35,Parda,Masculino,Homem cisgenero,Heterossexual
360,56,Parda,Masculino,Nao binario,Heterossexual
361,49,Parda,Masculino,Homem cisgenero,Heterossexual
362,35,Parda,Masculino,Homem cisgenero,Heterossexual
363,50,Branca,Masculino,Homem cisgenero,Heterossexual
364,52,Parda,Masculino,Homem cisgenero,Heterossexual
365,35,Parda,Masculino,Homem cisgenero,Heterossexual
366,21,Preta,Masculino,Mulher transexual,Heterossexual
367,21,Parda,Masculino,Homem cisgenero,Heterossexual
368,57,Parda,Masculino,Homem cisgenero,Heterossexual
369,43,Parda,Feminino,Mulher cisgenero,Heterossexual
370,45,Preta,Feminino,Mulher cisgenero,Heterossexual
371,41,Parda,Masculino,Homem cisgenero,Heterossexual
372,46,Parda,Masculino,Homem cisgenero,Heterossexual
373,29,Parda,Masculino,Homem cisgenero,Heterossexual
374,48,Parda,Masculino,Homem cisgenero,Heterossexual
375,30,Preta,Masculino,Homem cisgenero,Heterossexual
376,34,Branca,Feminino,Mulher cisgenero,Heterossexual
377,63,Parda,Masculino,Homem cisgenero,Heterossexual
378,44,Preta,Masculino,Homem cisgenero,Heterossexual
379,44,Branca,Masculino,Homem cisgenero,Heterossexual
380,28,Parda,Masculino,Homem cisgenero,Heterossexual
381,56,Branca,Masculino,Homem cisgenero,Heterossexual
382,25,Branca,Feminino,Nao binario,Nao se Aplica
383,49,Preta,Masculino,Homem cisgenero,Heterossexual
384,62,Parda,Masculino,Homem cisgenero,Heterossexual
385,46,Branca,Masculino,Homem cisgenero,Heterossexual
386,45,Branca,Feminino,Mulher cisgenero,Heterossexual
387,59,Parda,Masculino,Homem cisgenero,Heterossexual
388,40,Parda,Masculino,Homem cisgenero,Heterossexual
389,59,Parda,Feminino,Mulher cisgenero,Heterossexual
390,55,Parda,Masculino,Homem cisgenero,Heterossexual
391,40,Parda,Feminino,Mulher cisgenero,Heterossexual
392,46,Preta,Feminino,Mulher cisgenero,Heterossexual
393,45,Parda,Masculino,Homem cisgenero,Heterossexual
394,43,Branca,Masculino,Homem cisgenero,Heterossexual
395,38,Parda,Feminino,Mulher cisgenero,Heterossexual
396,39,Parda,Masculino,Homem cisgenero,Heterossexual
397,23,Parda,Masculino,Homem cisgenero,Heterossexual
398,34,Branca,Feminino,Mulher cisgenero,Bissexual/Panssexual
399,48,Parda,Masculino,Homem cisgenero,Heterossexual
400,29,Branca,Masculino,Homem cisgenero,Heterossexual
401,34,Preta,Masculino,Homem cisgenero,Heterossexual
402,43,Parda,Masculino,Homem cisgenero,Heterossexual
403,59,Preta,Masculino,Homem cisgenero,Heterossexual
404,56,Parda,Masculino,Homem cisgenero,Heterossexual
405,36,Parda,Masculino,Homem cisgenero,Heterossexual
406,51,Parda,Masculino,Homem cisgenero,Heterossexual
407,48,Parda,Masculino,Homem cisgenero,Heterossexual
408,41,Parda,Masculino,Homem cisgenero,Heterossexual
409,52,Parda,Masculino,Homem cisgenero,Heterossexual
410,29,Parda,Feminino,Mulher cisgenero,Heterossexual
411,50,Branca,Feminino,Mulher cisgenero,Heterossexual
412,36,Amarela,Masculino,Homem cisgenero,Heterossexual
413,48,Preta,Masculino,Homem cisgenero,Heterossexual
414,21,Branca,Feminino,Mulher cisgenero,Heterossexual
415,44,Preta,Masculino,Homem cisgenero,Heterossexual
416,40,Parda,Masculino,Homem cisgenero,Heterossexual
417,30,Parda,Masculino,Homem cisgenero,Heterossexual
418,39,Parda,Masculino,Homem cisgenero,Heterossexual
419,33,Indigena,Masculino,Travesti,Gay
420,31,Preta,Masculino,Mulher transexual,Heterossexual
421,28,Parda,Masculino,Homem cisgenero,Heterossexual
422,38,Preta,Masculino,Mulher transexual,Gay
423,34,Preta,Masculino,Homem cisgenero,Gay
424,58,Parda,Masculino,Homem cisgenero,Bissexual/Panssexual
425,27,Preta,Feminino,Mulher cisgenero,Heterossexual
426,24,Parda,Masculino,Mulher transexual,Heterossexual
427,57,Branca,Masculino,Homem cisgenero,Heterossexual
428,59,Preta,Masculino,Homem cisgenero,Heterossexual
429,32,Preta,Feminino,Mulher cisgenero,Heterossexual
430,30,Parda,Masculino,Agenero,Gay
431,32,Preta,Masculino,Homem cisgenero,Bissexual/Panssexual
432,49,Parda,Masculino,Homem cisgenero,Heterossexual
433,26,Preta,Masculino,Homem cisgenero,Bissexual/Panssexual
434,44,Parda,Masculino,Homem cisgenero,Heterossexual
435,57,Preta,Masculino,Homem cisgenero,Heterossexual
436,32,Preta,Masculino,Homem cisgenero,Heterossexual
437,34,Parda,Masculino,Homem cisgenero,Heterossexual
438,41,Parda,Feminino,Mulher cisgenero,Lesbica
439,40,Parda,Masculino,Homem cisgenero,Heterossexual
440,65,Parda,Masculino,Homem cisgenero,Heterossexual
441,57,Parda,Masculino,Homem cisgenero,Heterossexual
442,30,Branca,Masculino,Homem cisgenero,Heterossexual
443,58,Branca,Masculino,Homem cisgenero,Heterossexual
444,43,Preta,Masculino,Homem cisgenero,Heterossexual
445,31,Parda,Masculino,Homem cisgenero,Heterossexual
446,55,Parda,Masculino,Homem cisgenero,Heterossexual
447,20,Parda,Masculino,Mulher transexual,Heterossexual
448,40,Preta,Masculino,Homem cisgenero,Heterossexual
449,44,Branca,Feminino,Mulher cisgenero,Heterossexual
450,52,Parda,Masculino,Homem cisgenero,Heterossexual
451,32,Branca,Masculino,Homem cisgenero,Heterossexual
452,26,Branca,Masculino,Homem cisgenero,Heterossexual
453,24,Branca,Masculino,Homem cisgenero,Heterossexual
454,38,Prefere nao declarar,Masculino,Homem cisgenero,Heterossexual
455,36,Parda,Masculino,Homem cisgenero,Heterossexual
456,31,Parda,Masculino,Homem cisgenero,Nao Relatado
457,48,Parda,Feminino,Mulher cisgenero,Heterossexual
458,57,Parda,Masculino,Homem cisgenero,Heterossexual
459,42,Branca,Masculino,Mulher transexual,Bissexual/Panssexual
460,42,Parda,Masculino,Homem cisgenero,Heterossexual
461,39,Parda,Masculino,Homem cisgenero,Heterossexual
462,56,Parda,Masculino,Homem cisgenero,Heterossexual
463,36,Parda,Feminino,Mulher cisgenero,Heterossexual
464,39,Parda,Masculino,Homem cisgenero,Heterossexual
465,27,Parda,Masculino,Homem cisgenero,Heterossexual
466,37,Parda,Masculino,Homem cisgenero,Heterossexual
467,42,Parda,Masculino,Homem cisgenero,Heterossexual
468,56,Preta,Masculino,Homem cisgenero,Heterossexual
469,31,Parda,Masculino,Homem cisgenero,Heterossexual
470,51,Parda,Masculino,Homem cisgenero,Heterossexual
471,54,Branca,Feminino,Mulher cisgenero,Heterossexual
472,55,Parda,Masculino,Homem cisgenero,Heterossexual
473,29,Parda,Masculino,Homem cisgenero,Heterossexual
474,49,Parda,Masculino,Homem cisgenero,Heterossexual
475,40,Branca,Masculino,Homem cisgenero,Heterossexual
476,34,Branca,Masculino,Homem cisgenero,Heterossexual
477,51,Parda,Masculino,Homem cisgenero,Heterossexual
478,56,Parda,Masculino,Homem cisgenero,Heterossexual
